,Survived Name,Not Survived Name
49,"Samaan, Mr. Hanna","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
50,"Boulos, Master. Akar","Hocking, Miss. Ellen Nellie"""""
51,"Peter, Master. Michael J","Phillips, Miss. Alice Frances Louisa"
52,"Hyman, Mr. Abraham","Becker, Miss. Ruth Elizabeth"
53,"Drew, Mr. James Vivian","Flegenheim, Mrs. Alfred (Antoinette)"
54,"Aldworth, Mr. Charles Augustus","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
55,"Sap, Mr. Julius","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) "
56,"Abrahamsson, Mr. Abraham August Johannes","Cribb, Miss. Laura Alice"
57,"Salander, Mr. Karl Johan","Nilsson, Miss. Berta Olivia"
58,"Wenzel, Mr. Linhart","Rasmussen, Mrs. (Lena Jacobsen Solvang)"
59,"MacKay, Mr. George William","Quick, Miss. Winifred Vera"
60,"Niklasson, Mr. Samuel","Sage, Miss. Ada"
61,"Midtsjo, Mr. Karl Albert","Hellstrom, Miss. Hilda Maria"
62,"de Messemaeker, Mr. Guillaume Joseph","Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
63,"Nilsson, Mr. August Ferdinand","Drapkin, Miss. Jennie"
64,"Mock, Mr. Philipp Edmund","Mulvihill, Miss. Bertha E"
65,"Williams, Mr. Richard Norris II","Buckley, Miss. Katherine"
66,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""","Shine, Miss. Ellen Natalia"
67,"Tucker, Mr. Gilbert Milligan Jr","Ilmakangas, Miss. Ida Livija"
68,"Chevre, Mr. Paul Romaine","Braf, Miss. Elin Ester Maria"
69,"Pulbaum, Mr. Franz","Kreuchen, Miss. Emilie"
70,"Mangiavacchi, Mr. Serafino Emilio","Carr, Miss. Jeannie"
71,"Karun, Mr. Franz","Hagardon, Miss. Kate"
72,"Rothschild, Mr. Martin","Doyle, Miss. Elizabeth"
73,"Mardirosian, Mr. Sarkis","O'Donoghue, Ms. Bridget"
74,"Nasr, Mr. Mustafa","McCoy, Miss. Alicia"
75,"Malachard, Mr. Noel","Burns, Miss. Mary Delia"
76,"Vartanian, Mr. David","Barry, Miss. Julia"
77,"Spencer, Mr. William Augustus","Karnes, Mrs. J Frank (Claire Bennett)"
78,"Krekorian, Mr. Neshan","Daniels, Miss. Sarah"
79,"Rosenshine, Mr. George (Mr George Thorne"")""","Lefebre, Mrs. Frank (Frances)"
80,"Borebank, Mr. John James","Kink-Heilmann, Mrs. Anton (Luise Heilmann)"
81,"Duquemin, Mr. Joseph","Minahan, Mrs. William Edward (Lillian E Thorpe)"
82,"Asplund, Master. Filip Oscar","Smyth, Miss. Julia"
83,"Carver, Mr. Alfred John","Murphy, Miss. Nora"
84,"Collett, Mr. Sidney C Stuart","McNeill, Miss. Bridget"
85,"Kenyon, Mr. Frederick R","Lennon, Miss. Mary"
86,"Ryerson, Master. John Borie","Fleming, Miss. Honora"
87,"Assaf, Mr. Gerios","Daly, Miss. Margaret Marcella Maggie"""""
88,"Keeping, Mr. Edwin","Bradley, Miss. Bridget Delia"
89,"Conlon, Mr. Thomas Henry","Wright, Miss. Marion"
90,"Shaughnessy, Mr. Patrick","Lundin, Miss. Olga Elida"
91,"Myles, Mr. Thomas Francis","Bird, Miss. Ellen"
92,"Lingane, Mr. John","Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)"
93,"Lane, Mr. Patrick","Peacock, Mrs. Benjamin (Edith Nile)"
94,"Ovies y Rodriguez, Mr. Servando","Coutts, Mrs. William (Winnie Minnie"" Treanor)"""
95,"Samaan, Mr. Elias","McCarthy, Miss. Catherine Katie"""""
96,"McCrae, Mr. Arthur Gordon","del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
97,"Storey, Mr. Thomas","Abrahim, Mrs. Joseph (Sophie Halaut Easu)"
98,"Ford, Mr. Edward Watson","Assaf Khalil, Mrs. Mariana (Miriam"")"""
99,"Spinner, Mr. Henry John","Connolly, Miss. Kate"
100,"Kiernan, Mr. John","Mahon, Miss. Bridget Delia"
101,"Rice, Master. Albert","McGowan, Miss. Katherine"
102,"Colbert, Mr. Patrick","Riordan, Miss. Johanna Hannah"""""
103,"Mahon, Mr. John","Naughton, Miss. Hannah"
104,"Canavan, Mr. Patrick","Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
105,"Fox, Mr. Patrick","Geiger, Miss. Amalie"
106,"Foley, Mr. Joseph","Ostby, Miss. Helene Ragnhild"
107,"O'Connor, Mr. Patrick","Bucknell, Mrs. William Robert (Emma Eliza Ward)"
108,"Faunthorpe, Mr. Harry","Chaudanson, Miss. Victorine"
109,"Pearce, Mr. Ernest","Touma, Miss. Maria Youssef"
110,"Andrew, Mr. Frank Thomas","Nakid, Mrs. Said (Waika Mary"" Mowad)"""
111,"Dika, Mr. Mirko","Laroche, Miss. Louise"
112,"O'Keefe, Mr. Patrick","White, Mrs. John Stuart (Ella Holmes)"
113,"Keane, Mr. Daniel","West, Miss. Barbara J"
114,"Linehan, Mr. Michael","Cacic, Miss. Manda"
115,"Kelly, Mr. James","Straus, Mrs. Isidor (Rosalie Ida Blun)"
116,"Buckley, Mr. Daniel","Bentham, Miss. Lilian W"
117,"Foley, Mr. William","Bowen, Miss. Grace Scott"
118,"Ryan, Mr. Edward","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)"
119,"Lamb, Mr. John Joseph","Gibson, Miss. Dorothy Winifred"
120,"Beauchamp, Mr. Henry James","Oliva y Ocana, Dona. Fermina"
121,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""","Wilson, Miss. Helen Alice"
122,"Vander Planke, Mr. Julius","Clark, Mrs. Walter Miller (Virginia McDowell)"
123,"Hilliard, Mr. Herbert Henry","Bryhl, Miss. Dagmar Jenny Ingeborg "
124,"Davies, Mr. Evan","Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)"""
125,"Crafton, Mr. John Bertram","Nieminen, Miss. Manta Josefina"
126,"Lahtinen, Rev. William","Roth, Miss. Sarah A"
127,"Bjorklund, Mr. Ernst Herbert","Klasen, Miss. Gertrud Emilia"
128,"Smith, Mr. Lucien Philip","Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)"""
129,"Lithman, Mr. Simon","Howard, Miss. May Elizabeth"
130,"Davison, Mr. Thomas Henry","Earnshaw, Mrs. Boulton (Olive Potter)"
131,"Schmidt, Mr. August","Schabert, Mrs. Paul (Emma Mock)"
132,"Goodwin, Mr. Charles Frederick","Khalil, Mrs. Betros (Zahie Maria"" Elias)"""
133,"Carlsson, Mr. Carl Robert","Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
134,"Kennedy, Mr. John","Whabee, Mrs. George Joseph (Shawneene Abi-Saab)"
135,"Nancarrow, Mr. William Henry","Greenfield, Mrs. Leo David (Blanche Strouse)"
136,"Rogers, Mr. Reginald Harry","Mallet, Mrs. Albert (Antoinette Magnin)"
137,"Jonsson, Mr. Nils Hilding","Harder, Mrs. George Achilles (Dorothy Annan)"
138,"Jefferys, Mr. Ernest Wilfred","Gibson, Mrs. Leonard (Pauline C Boeson)"
139,"Andersson, Mr. Johan Samuel","Christy, Mrs. (Alice Frances)"
140,"Sage, Mr. John George","Howard, Mrs. Benjamin (Ellen Truelove Arman)"
141,"Nesson, Mr. Israel","Andersson, Miss. Ida Augusta Margareta"
142,"Rowe, Mr. Alfred G","Watt, Miss. Bertha J"
143,"Assam, Mr. Ali","Cook, Mrs. (Selena Rogers)"
144,"Drew, Master. Marshall Brines","Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
145,"Weisz, Mr. Leopold","Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
146,"Fillbrook, Mr. Joseph Charles","Widener, Mrs. George Dunton (Eleanor Elkins)"
147,"Clarke, Mr. Charles Valentine","Duran y More, Miss. Florentina"
148,"Enander, Mr. Ingvar","Candee, Mrs. Edward (Helen Churchill Hungerford)"
149,"Tenglin, Mr. Gunnar Isidor","Moubarek, Mrs. George (Omine Amenia"" Alexander)"""
150,"Denbury, Mr. Herbert","Sandstrom, Miss. Beatrice Irene"
151,"Olsen, Master. Artur Karl",Not data
152,"Makinen, Mr. Kalle Edvard",Not data
153,"Cor, Mr. Ivan",Not data
154,"Maguire, Mr. John Edward",Not data
155,"de Brito, Mr. Jose Joaquim",Not data
156,"Lundstrom, Mr. Thure Edvin",Not data
157,"Peruschitz, Rev. Joseph Maria",Not data
158,"Baimbrigge, Mr. Charles Robert",Not data
159,"Danbom, Master. Gilbert Sigvard Emanuel",Not data
160,"Rheims, Mr. George Alexander Lucien",Not data
161,"Willer, Mr. Aaron (Abi Weller"")""",Not data
162,"Louch, Mr. Charles Alexander",Not data
163,"Dodge, Dr. Washington",Not data
164,"Wittevrongel, Mr. Camille",Not data
165,"Angheloff, Mr. Minko",Not data
166,"Bowenur, Mr. Solomon",Not data
167,"McCrie, Mr. James Matthew",Not data
168,"Maybery, Mr. Frank Hubert",Not data
169,"Abelseth, Mr. Olaus Jorgensen",Not data
170,"Davies, Mr. Joseph",Not data
171,"Veal, Mr. James",Not data
172,"Angle, Mr. William A",Not data
173,"Salomon, Mr. Abraham L",Not data
174,"van Billiard, Master. Walter John",Not data
175,"Brobeck, Mr. Karl Rudolf",Not data
176,"Holthen, Mr. Johan Martin",Not data
177,"Allison, Mr. Hudson Joshua Creighton",Not data
178,"Aks, Master. Philip Frank",Not data
179,"Hays, Mr. Charles Melville",Not data
180,"Cacic, Mr. Jego Grga",Not data
181,"Johansson Palmquist, Mr. Oskar Leander",Not data
182,"Guest, Mr. Robert",Not data
183,"Sadowitz, Mr. Harry",Not data
184,"Loring, Mr. Joseph Holland",Not data
185,"Robins, Mr. Alexander A",Not data
186,"Swane, Mr. George",Not data
187,"Dennis, Mr. William",Not data
188,"Franklin, Mr. Charles (Charles Fardon)",Not data
189,"Snyder, Mr. John Pillsbury",Not data
190,"Jefferys, Mr. Clifford Thomas",Not data
191,"Ford, Mr. Arthur",Not data
192,"van Billiard, Master. James William",Not data
193,"Giles, Mr. Ralph",Not data
194,"Botsford, Mr. William Hull",Not data
195,"Wheeler, Mr. Edwin Frederick""""",Not data
196,"Aronsson, Mr. Ernst Axel Algot",Not data
197,"Ashby, Mr. John",Not data
198,"Palsson, Master. Paul Folke",Not data
199,"Payne, Mr. Vivian Ponsonby",Not data
200,"Abbott, Master. Eugene Joseph",Not data
201,"Gilbert, Mr. William",Not data
202,"Kink-Heilmann, Mr. Anton",Not data
203,"Brady, Mr. John Bertram",Not data
204,"Johansson, Mr. Nils",Not data
205,"Olsson, Mr. Oscar Wilhelm",Not data
206,"Phillips, Mr. Escott Robert",Not data
207,"Pokrnic, Mr. Tome",Not data
208,"Saether, Mr. Simon Sivertsen",Not data
209,"Spector, Mr. Woolf",Not data
210,"Straus, Mr. Isidor",Not data
211,"Demetri, Mr. Marinko",Not data
212,"Ware, Mr. William Jeffery",Not data
213,"Wirz, Mr. Albert",Not data
214,"Karlsson, Mr. Julius Konrad Eugen",Not data
215,"Ilieff, Mr. Ylio",Not data
216,"Jones, Mr. Charles Cresson",Not data
217,"Giles, Mr. Edgar",Not data
218,"Parker, Mr. Clifford Richard",Not data
219,"Ware, Mr. John James",Not data
220,"Dyker, Mr. Adolf Fredrik",Not data
221,"Cor, Mr. Bartol",Not data
222,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",Not data
223,"Petersen, Mr. Marius",Not data
224,"Ismay, Mr. Joseph Bruce",Not data
225,"Asplund, Master. Carl Edgar",Not data
226,"Davies, Mr. John Samuel",Not data
227,"Carrau, Mr. Jose Pedro",Not data
228,"Svensson, Mr. Johan Cervin",Not data
229,"Case, Mr. Howard Brown",Not data
230,"Wells, Master. Ralph Lester",Not data
231,"Hipkins, Mr. William Edward",Not data
232,"Peacock, Master. Alfred Edward",Not data
233,"Stokes, Mr. Philip Joseph",Not data
234,"Dibden, Mr. William",Not data
235,"Herman, Mr. Samuel",Not data
236,"Julian, Mr. Henry Forbes",Not data
237,"Miles, Mr. Frank",Not data
238,"Larsson-Rondberg, Mr. Edvard A",Not data
239,"Gale, Mr. Harry",Not data
240,"Chisholm, Mr. Roderick Robert Crispin",Not data
241,"Lyntakoff, Mr. Stanko",Not data
242,"Oxenham, Mr. Percy Thomas",Not data
243,"Saade, Mr. Jean Nassr",Not data
244,"Ryerson, Mr. Arthur Larned",Not data
245,"Matinoff, Mr. Nicola",Not data
246,"Touma, Master. Georges Youssef",Not data
247,"Spedden, Mr. Frederic Oakley",Not data
248,"Clark, Mr. Walter Miller",Not data
249,"Caram, Mr. Joseph",Not data
250,"Zakarian, Mr. Mapriededer",Not data
251,"Ware, Mr. Frederick",Not data
252,"Delalic, Mr. Redjo",Not data
253,"Andersen, Mr. Albert Karvin",Not data
254,"Finoli, Mr. Luigi",Not data
255,"Deacon, Mr. Percy William",Not data
256,"Gracie, Col. Archibald IV",Not data
257,"Beattie, Mr. Thomson",Not data
258,"Thomas, Mr. John",Not data
259,"Chronopoulos, Mr. Demetrios",Not data
260,"Stanton, Mr. Samuel Ward",Not data
261,"Birnbaum, Mr. Jakob",Not data
262,"Brandeis, Mr. Emil",Not data
263,"Zakarian, Mr. Ortin",Not data
264,"Torfa, Mr. Assad",Not data
265,"Asplund, Mr. Johan Charles",Not data
